key;joiningdate;surname;forename;group;newsletter
GI-109692; 1995-11-10; Dulli; Goo; STUDENT; true
GI-105214; 1986-02-14; Gammage; Godehard; REDUCED; false
GI-107176; 1999-12-31; Siepmann; Adil; REDUCED; true
GI-101830; 1986-08-01; Chappelet; Kazuyasu; STUDENT; false
GI-101092; 1991-12-25; Heijenga; Yinlin; FULL; true
GI-106058; 1996-04-20; Hagimont; Masaki; EMERITUS; true
GI-106993; 1987-02-18; Herath; Khatoun; FULL; false
GI-104172; 1991-01-02; Poehlman; Ennio; FULL; true
GI-108060; 1994-03-15; Mikschl; Menkae; EMERITUS; false
GI-109902; 1985-05-18; Assaf; Toshimo; FULL; true
GI-106818; 1988-01-18; Lorys; Thanasis; FULL; false
GI-105312; 1993-10-31; Veeraraghavan; Heng; FULL; false
GI-109385; 1991-09-26; Krzyzanowski; Rutger; STUDENT; true
GI-104947; 1989-03-07; Validov; Shaleah; FULL; true
GI-104879; 1996-11-05; Riexinger; Tomokazu; FULL; false
GI-104087; 1986-11-07; Weiland; Mario; STUDENT; false
GI-101248; 1985-10-03; Lindenbaum; George; FULL; true
GI-102894; 1990-03-26; Impagliazzo; Danel; FULL; true
GI-105665; 1989-12-11; Georgakopoulos; Zorica; FULL; false
GI-100925; 1994-03-22; Vilarrasa; Khedija; STUDENT; true
GI-100296; 1985-12-15; Isaak; Giri; EMERITUS; true
GI-107491; 1996-04-27; Nourani; Dekang; FULL; true
GI-103697; 1991-09-30; Gulik; Khosrow; FULL; true
GI-108454; 1990-01-19; Ranka; Gou; FULL; false
GI-104335; 1991-04-18; Dechter; Sugwoo; FULL; true
GI-109616; 1993-02-28; Menyhert; Dinkar; EMERITUS; true
GI-102962; 1989-01-29; Pettis; Ymte; STUDENT; false
GI-101534; 1990-05-20; Krohn; Kish; FULL; true
GI-102736; 1989-11-03; Huttel; John; REDUCED; false
GI-107936; 1987-01-29; Picco; Teiji; FULL; true
GI-102631; 1993-11-22; Krzyzanowski; Kasidit; FULL; true
GI-101329; 1985-02-03; Detkin; Edwin; EMERITUS; true
GI-101779; 1986-03-31; Jayawardene; Dannz; EMERITUS; false
GI-100998; 1986-07-25; Danley; Theirry; FULL; true
GI-103980; 1993-02-13; Chaudhuri; Chaosheng; STUDENT; true
GI-109582; 1985-04-08; Munck; Aleksander; FULL; true
GI-103644; 1991-09-06; Luft; Jinxi; FULL; false
GI-103928; 1994-09-07; Rabehasaina; Inderjeet; FULL; true
GI-109879; 1985-09-18; Gulik; Jiakeng; FULL; true
GI-102727; 1992-11-10; Sanella; Quingbo; FULL; true
GI-101349; 1986-12-06; Stassinopoulos; Dharmaraja; FULL; false
GI-103752; 1987-06-10; Plotkin; Xiping; FULL; false
GI-109117; 1986-12-05; McClurg; Khaled; REDUCED; false
GI-104653; 1987-04-01; Peltason; Kevin; EMERITUS; true
GI-109997; 1989-06-12; Veldwijk; Qiwen; FULL; false
GI-108056; 1993-07-11; Frolund; Heejo; REDUCED; true
GI-100426; 1996-05-20; Thummel; Bodo; FULL; false
GI-101650; 1985-05-13; Thomas; Adamantios; FULL; true
GI-105303; 1993-01-25; Picht; Nathan; FULL; false
GI-100191; 1995-02-04; Wilfing; Marek; REDUCED; true
GI-104151; 1992-01-01; Leuchs; Sangeeta; EMERITUS; false
GI-104671; 1986-03-19; Brookner; Jasminko; EMERITUS; false
GI-107336; 1987-07-07; Lampe; Shigeo; REDUCED; false
GI-100375; 1994-11-04; Beidas; Shigenori; STUDENT; true
GI-108369; 1990-05-03; Wilfing; Charmane; EMERITUS; false
GI-108002; 1990-03-15; Morrey; Lunjin; EMERITUS; true
GI-106914; 1985-05-28; Czap; Dayanand; FULL; true
GI-105625; 1989-08-15; Nivat; Szabolcs; REDUCED; true
GI-107773; 1993-05-02; von Kron; Shuzo; EMERITUS; false
GI-103475; 1989-01-23; Egerstedt; Sachem; STUDENT; true
GI-109814; 1994-08-14; Wolniewicz; Jianhui; FULL; true
GI-103303; 1985-06-24; Kusakabe; Ortrud; FULL; false
GI-104445; 1985-06-19; Valette; Jinxi; FULL; true
GI-104707; 1989-04-15; Rahier; Susanne; FULL; false
GI-102266; 1990-11-10; Boreale; Zengping; REDUCED; true
GI-101548; 1989-11-17; Mitina; Yuping; REDUCED; true
GI-108425; 1988-05-15; Couchot; Inderjeet; STUDENT; true
GI-101630; 1992-06-26; Horswill; Manibrata; FULL; true
GI-101042; 1992-08-09; Schurmann; Flemming; REDUCED; true
GI-103585; 1996-03-18; Syrzycki; Ramzi; EMERITUS; false
GI-100691; 1987-06-04; Templeman; Goetz; STUDENT; true
GI-102396; 1985-08-07; Albarhamtoshy; Serge; STUDENT; true
GI-101966; 1993-08-26; Rijsenbrij; Ross; REDUCED; true
GI-102126; 1985-02-28; Quittner; Vidya; STUDENT; false
GI-108458; 1989-03-02; Papadias; Ramzi; REDUCED; false
GI-107735; 1992-06-30; Cusworth; Sverrir; EMERITUS; false
GI-105484; 1987-01-15; Jiafu; Hideo; FULL; true
GI-100685; 1991-07-10; Luke; Junichi; FULL; false
GI-102213; 1996-03-22; Spelt; Kyoichi; REDUCED; true
GI-102671; 1993-03-08; Barreiro; Trygve; FULL; false
GI-109374; 1992-04-13; Papsdorf; Eben; STUDENT; true
GI-109400; 1989-08-04; Improta; Sanjay; EMERITUS; true
GI-103604; 1990-04-21; Shinomoto; Przemyslawa; FULL; false
GI-104183; 1985-04-06; Binkley; Arto; REDUCED; false
GI-105026; 1996-08-26; Monkewich; Takushi; STUDENT; true
GI-102448; 1986-08-28; Harnett; Demin; FULL; true
GI-104286; 1996-02-14; Sudbeck; Claudi; REDUCED; false
GI-100862; 1985-02-23; Ecklund; Takahito; EMERITUS; true
GI-109322; 1986-04-07; Krone; JoAnna; FULL; false
GI-100417; 1986-05-14; Aloisi; Shrikanth; EMERITUS; false
GI-108374; 1989-07-16; Prenel; Rildo; FULL; true
GI-102692; 1991-01-16; McDermid; Gritta; FULL; false
GI-109200; 1992-01-15; Callaway; Ebbe; FULL; true
GI-103717; 1991-11-29; Schapiro; Kazuhiro; REDUCED; false
GI-105157; 1999-07-29; Nishimukai; Leaf; FULL; true
GI-105007; 1992-06-16; Hanratty; Yishai; FULL; true
GI-104531; 1985-09-16; Penn; Marsha; REDUCED; false
GI-104219; 1989-03-18; Deverell; Weicheng; EMERITUS; false
GI-103716; 1996-11-27; Dulli; Mabry; EMERITUS; true
GI-101504; 1997-07-02; Murrill; Masali; EMERITUS; false
GI-109027; 1994-04-06; Pritt; Kirk; REDUCED; true
GI-107007; 1992-06-08; Dehkordi; Danil; REDUCED; false
GI-108209; 1990-02-16; Coorg; Macha; FULL; false
GI-101930; 1994-03-09; Greenaway; Szabolcs; EMERITUS; true
GI-101469; 1996-05-04; Yurov; Hugh; FULL; true
GI-104881; 1996-03-23; Armand; Girolamo; FULL; true
GI-106024; 1989-10-05; Erva; Khalid; FULL; false
GI-108745; 1991-04-05; Barriga; Eckart; REDUCED; false
GI-100235; 1986-08-16; Luiz; Arun; REDUCED; true
GI-103645; 1997-07-25; Improta; Roded; REDUCED; true
GI-104055; 1997-09-09; Orsini; Shridhar; REDUCED; true
GI-108176; 1988-09-10; Eugenio; Demos; STUDENT; true
GI-105317; 1987-06-08; Lally; Gio; STUDENT; false
GI-104351; 1994-11-13; Hashii; Marin; FULL; false
GI-101607; 1995-12-25; McDermid; JoAnna; FULL; true
GI-100237; 1987-01-28; Plessier; Matt; FULL; true
GI-100478; 1989-10-13; Luca; Honglan; FULL; true
GI-100075; 1993-05-04; Camurati; Oksana; STUDENT; true
GI-103820; 1989-06-08; Mattern; Mart; FULL; true
GI-109208; 1994-01-31; Zeilberger; Menkae; STUDENT; false
GI-101773; 1985-03-13; Sigstam; Abdulah; EMERITUS; true
GI-107209; 1994-10-05; Kushnir; JiYoung; FULL; false
GI-104689; 1989-12-28; Benaini; Xianlong; FULL; false
GI-108213; 1995-05-06; DiGiano; Lorien; STUDENT; false
GI-105090; 1990-08-01; Erez; Maren; EMERITUS; true
GI-109569; 1985-12-17; Herath; Dipankar; STUDENT; true
GI-104036; 1992-04-19; Ozeri; Martina; STUDENT; false
GI-101832; 1986-10-12; Vural; Yurij; REDUCED; true
GI-108412; 1986-12-18; Petersoon; Shaw; REDUCED; true
GI-100148; 1988-08-15; Schiettecatte; Zhensheng; EMERITUS; true
GI-103483; 1988-05-04; Chinen; Karlis; FULL; false
GI-101730; 1986-12-07; Jiafu; Bowen; EMERITUS; false
GI-102062; 1987-05-07; Ishibashi; Gully; EMERITUS; true
GI-108624; 1992-12-20; Imataki; Khatoun; EMERITUS; false
GI-102914; 1985-05-13; Czap; Masali; FULL; true
GI-102060; 1990-06-29; Marquardt; Jacqueline; FULL; true
GI-100626; 1988-02-29; Straney; Adil; REDUCED; false
GI-109732; 1991-02-05; Bernardinello; Shen; FULL; true
GI-108942; 1990-10-15; Schwartzbauer; Vincent; EMERITUS; true
GI-107983; 1988-10-18; Sullins; Valter; REDUCED; true
GI-103372; 1995-12-25; Hardjono; Stepehn; STUDENT; false
GI-109140; 1990-03-10; Velasco; Sandeepan; FULL; false
GI-109271; 1994-11-02; Azulay; Kazuhira; REDUCED; true
GI-105440; 1996-08-12; Luca; Fumino; EMERITUS; true
GI-107472; 1989-06-13; Highland; Mizuhito; EMERITUS; true
GI-104348; 1988-07-19; Spell; Shen; STUDENT; true
GI-109960; 1986-02-27; Ellozy; Cathrin; FULL; true
GI-103861; 1988-08-07; Larfeldt; Kazuhito; FULL; false
GI-106402; 1987-08-17; Rijckaert; Subir; EMERITUS; false
GI-102236; 1985-09-03; Iacovou; Chiradeep; REDUCED; true
GI-105957; 1985-11-23; Danlos; Ashish; REDUCED; true
GI-106797; 1998-01-24; Negoita; Kwangsub; STUDENT; true
GI-100628; 1992-01-28; Ibel; Leucio; FULL; true
GI-104587; 1989-11-22; Kumaresan; Giri; FULL; false
GI-101541; 1996-04-26; Peroz; Jacqueline; EMERITUS; true
GI-100009; 1991-04-09; Feldmann; Gal; EMERITUS; false
GI-109144; 1992-12-09; Speer; Moss; STUDENT; true
GI-106803; 1986-11-29; Bresenham; Arumugam; EMERITUS; false
GI-108618; 1993-06-07; Menhoudj; Xinyu; FULL; true
GI-104913; 1988-02-16; Taneja; Peer; EMERITUS; true
GI-108706; 1994-09-15; Kalloufi; Saniya; FULL; false
GI-100326; 1992-05-31; Siepmann; Bojan; REDUCED; true
GI-106716; 1989-05-23; Oxenboll; Mingzeng; FULL; false
GI-109014; 1986-02-27; Cesareni; Hongzue; REDUCED; false
GI-103904; 1993-10-07; Morrow; Gererd; EMERITUS; false
GI-109735; 1986-07-31; Genther; Nirmal; FULL; true
GI-101146; 1986-01-22; Caine; Hairong; FULL; false
GI-109172; 1992-11-23; McAlpine; Adam; FULL; false
GI-107801; 1992-10-07; Weisert; Affonso; FULL; true
GI-109521; 1989-10-27; Garigliano; Mostafa; STUDENT; true
GI-102269; 1989-07-25; Ratnakar; Toshimo; FULL; false
GI-100842; 1987-04-03; Peha; Kazuhide; FULL; false
GI-109855; 1993-02-05; Rebaine; Ranga; FULL; true
GI-106577; 1991-01-21; Aloia; Toshimitsu; STUDENT; false
GI-100609; 1990-01-07; Klyachko; Khalil; REDUCED; true
GI-109801; 1994-05-07; Norsworthy; Goetz; EMERITUS; false
GI-109670; 1987-02-04; Brlek; Peter; REDUCED; false
GI-105833; 1987-08-21; Casperson; Cathie; REDUCED; true
GI-107134; 1988-12-10; Pulkowski; Jeanna; FULL; true
GI-100540; 1985-08-12; Tibblin; Jaideep; FULL; true
GI-105655; 1987-07-20; Schieder; Falguni; EMERITUS; false
GI-102654; 1993-11-20; Cairo; Eckart; FULL; true
GI-109632; 1994-07-26; Gips; Martien; EMERITUS; true
GI-109456; 1988-05-27; Debuse; Aamod; REDUCED; false
GI-102636; 1990-05-05; Binkley; Sanjeeva; REDUCED; false
GI-107202; 1986-12-14; Thombley; Changho; FULL; true
GI-106180; 1990-01-17; Erdmenger; Ingemar; FULL; true
GI-108078; 1997-02-28; Binkley; Shuky; EMERITUS; false
GI-104729; 1985-06-15; Comellas; Kersti; EMERITUS; true
GI-105937; 1988-05-09; Hellwagner; Kwan; REDUCED; false
GI-107945; 1986-09-24; Zuberek; Kwangyoen; FULL; true
GI-108789; 1994-04-02; Ertl; Sariel; FULL; false
GI-102744; 1988-12-06; Ohori; Tomokazu; EMERITUS; false
GI-101679; 1989-12-17; Lucas; Gonzalo; EMERITUS; true
GI-104276; 1995-03-13; Thorensen; Duri; EMERITUS; true
GI-102622; 1985-07-30; Frijda; Anneli; EMERITUS; false
GI-108845; 1992-04-27; Casley; Uno; STUDENT; false
GI-101473; 1994-04-18; Trachtenberg; Fox; STUDENT; false
GI-104545; 1986-11-14; Sommer; Leni; FULL; true
GI-102829; 1993-08-07; Dalphin; Mong; STUDENT; false
GI-106224; 1995-09-01; Peyn; Shen; FULL; false
GI-105743; 1988-07-23; Babu; Lene; EMERITUS; false
GI-106570; 1988-04-18; Wixon; Xiahua; EMERITUS; true
GI-103283; 1987-09-16; Glowinski; Gennady; STUDENT; true
GI-102687; 1990-05-15; Cyne; Anneli; REDUCED; false
GI-104155; 1987-04-30; Kinley; Mark; EMERITUS; true
GI-101763; 1988-01-16; Kropf; Yinghua; STUDENT; false
GI-105224; 1987-04-20; Schwabacher; Brigham; FULL; true
GI-102014; 1993-01-22; Anandan; Arnd; FULL; true
GI-104104; 1991-09-03; Bazelow; Pranav; EMERITUS; false
GI-108726; 1989-09-01; Tchuente; Denny; FULL; true
GI-100179; 1987-12-27; Diderrich; Toney; REDUCED; true
GI-100642; 1985-06-18; Levasseur; Gladys; STUDENT; true
GI-105956; 1986-02-28; Zyda; Alselm; EMERITUS; false
GI-108042; 1994-09-18; Rande; Sasan; REDUCED; true
GI-102211; 1993-12-11; Feinberg; Gad; FULL; false
GI-102275; 1993-12-14; Hiltgen; Gio; FULL; false
GI-101941; 1991-06-22; Beeson; Taiji; STUDENT; true
GI-109455; 1987-07-02; Nooteboom; Guoxiang; FULL; false
GI-106847; 1994-09-22; Perin; Fox; STUDENT; false
GI-104709; 1986-03-19; Braccini; Adib; FULL; true
GI-100833; 1985-10-07; Neiman; Eben; EMERITUS; true
GI-104830; 1985-09-23; Oxenboll; Irene; FULL; false
GI-104520; 1986-05-14; Eugenio; Baruch; FULL; false
GI-107401; 1993-12-25; Ariola; Xiaoqiang; STUDENT; true
GI-105249; 1990-04-04; Castellani; Garnik; EMERITUS; false
GI-104622; 1989-07-05; Lucas-Silva; Sumant; REDUCED; false
GI-101580; 1994-07-05; Klerer; Snehasis; EMERITUS; true
GI-104524; 1989-11-01; Schonegge; Tristan; FULL; false
GI-100243; 1987-12-12; Birsak; Yinghua; REDUCED; true
GI-107061; 1985-05-20; Petersen; Babette; EMERITUS; true
GI-108854; 1989-04-23; Cooke; Mooi; STUDENT; true
GI-100861; 1987-03-06; Borovoy; Beich; FULL; false
GI-106840; 1987-12-09; Karnin; Gadiel; EMERITUS; true
GI-103794; 1989-05-07; Limongiello; Yannik; EMERITUS; true
GI-106231; 1985-06-28; Wallrath; Matt; FULL; false
GI-105111; 1996-10-29; Belinskaya; Karsten; EMERITUS; false
GI-102586; 1996-05-24; Milicia; Akhilish; EMERITUS; false
GI-102267; 1988-11-05; Imataki; Goncalo; EMERITUS; true
GI-103328; 1985-10-27; Sridhar; Rafols; EMERITUS; true
GI-101706; 1991-12-24; Bellmore; Weiwu; FULL; true
GI-101574; 1995-01-07; Pluym; Subbu; FULL; true
GI-103979; 1990-06-22; Kilgore; Rutger; STUDENT; false
GI-100895; 1988-10-29; Bakhtari; Seongbin; REDUCED; true
GI-103165; 1991-11-07; Itzfeldt; Shigeu; FULL; true
GI-101197; 1991-01-03; Wiegley; Shim; FULL; true
GI-102860; 1992-02-23; Impagliazzo; Tonny; STUDENT; true
GI-106478; 1989-09-16; Lorho; Petter; REDUCED; true
GI-109002; 1985-06-07; Cyre; Shigeaki; FULL; true
GI-101041; 1987-11-27; Akaboshi; Rosalyn; REDUCED; false
GI-101449; 1991-01-18; Hardjono; Paloma; FULL; false
GI-104574; 1991-09-08; Litvinov; Ramzi; FULL; true
GI-104749; 1987-02-04; Belinskaya; Makato; FULL; true
GI-100850; 1991-03-08; Chvatal; Ulf; EMERITUS; false
GI-106796; 1985-06-13; Rissanen; Ronnie; FULL; true
GI-105088; 1992-05-15; Lyonns; Shawna; EMERITUS; true
GI-108682; 1987-03-12; Woycyznski; Fayez; EMERITUS; true
GI-108178; 1991-12-15; Menhoudj; Xuejia; FULL; true
GI-103291; 1988-10-22; Bernini; Christ; EMERITUS; true
GI-101201; 1989-04-02; Kulisch; Jayesh; STUDENT; true
GI-107721; 1996-01-09; Gente; Zhenbing; FULL; false
GI-106897; 1986-12-23; Carrera; Randy; FULL; true
GI-102465; 1990-02-20; Zlotek; Ipke; FULL; true
GI-106191; 1994-12-03; Zhang; Janche; FULL; true
GI-109446; 1986-11-23; Hartvigsen; Kankanahalli; EMERITUS; true
GI-106036; 1991-05-19; Borovoy; Jenwei; REDUCED; false
GI-103704; 1992-11-06; Marsiglia; Zhenbing; REDUCED; true
GI-107227; 1989-06-29; Harnett; Honglan; FULL; false
GI-100865; 1987-05-01; Merel; Petter; FULL; false
GI-109647; 1991-11-05; DasSarma; Mary; EMERITUS; false
GI-108912; 1985-02-27; Junot; Sushant; FULL; false
GI-103221; 1990-05-12; Makinen; Gian; STUDENT; false
GI-104895; 1991-12-19; Plotkin; Godehard; FULL; true
GI-108115; 1988-11-05; Viele; Maha; FULL; true
GI-105272; 1987-05-28; Castellani; Nahla; EMERITUS; false
GI-101407; 1986-10-01; Hedayat; Ebbe; REDUCED; false
GI-108312; 1985-07-21; Moehrke; Zito; FULL; true
GI-103361; 1985-07-08; Rehfuss; Sasan; EMERITUS; false
GI-107051; 1986-05-13; Walston; Khoa; FULL; true
GI-101287; 1988-03-23; McAffer; Shunichi; REDUCED; false
GI-101132; 1987-11-12; Cunliffe; Josyula; FULL; false
GI-105921; 1987-09-26; Pusterhofer; Maria; REDUCED; true
GI-101361; 1993-10-09; Karcich; Zhensheng; FULL; false
GI-108214; 1994-10-13; Vandervoorde; Chaitali; FULL; true
GI-109788; 1991-05-08; McFarlin; Visit; STUDENT; false
GI-109520; 1992-09-13; Delaune; Mohammad; REDUCED; true
GI-102656; 1989-05-21; Thorelli; Gurbir; FULL; true
GI-109717; 1988-08-26; Beidas; Fumitake; REDUCED; false
GI-104308; 1990-07-04; Benzmuller; Shaunak; EMERITUS; true
GI-109076; 1986-04-16; Simmen; Adib; REDUCED; true
GI-101460; 1990-04-02; Covnot; Arnd; FULL; true
GI-106850; 1985-10-11; Schiper; Masako; FULL; true
GI-102528; 1988-11-25; Cappelletti; Rafail; FULL; true
GI-106457; 1986-07-15; Morton; Hilari; REDUCED; true
GI-105445; 1997-04-11; dAstous; Jiafu; FULL; true
GI-101964; 1987-04-16; Warwick; Xinyu; FULL; true
GI-101377; 1986-10-06; Baek; Niranjan; FULL; true
GI-106661; 1995-10-19; Begiun; Stepehn; STUDENT; false
GI-101992; 1986-09-01; Holburn; Abdelwaheb; STUDENT; true
GI-107038; 1991-06-21; DuBourdieux; Arvind; FULL; true
GI-108426; 1987-02-27; Ruther; Heping; FULL; false
GI-104557; 1991-10-01; Portugali; Michaela; REDUCED; true
GI-105008; 1986-03-04; Bernini; Kotesh; STUDENT; false
GI-107986; 1990-02-03; Tischendorf; Shunichi; FULL; true
GI-103844; 1989-06-14; Biran; Florina; FULL; true
GI-102693; 1988-04-06; Kusakabe; Masanao; FULL; false
GI-106715; 1996-01-16; Krohn; Aleksander; FULL; true
GI-100086; 1992-11-03; Swist; Genta; EMERITUS; true
GI-107960; 1994-06-30; Farrel; Berry; STUDENT; false
GI-103450; 1989-11-05; Bierman; Margareta; EMERITUS; true
GI-103414; 1997-07-11; Kroon; Lobel; STUDENT; true
GI-106510; 1985-11-06; Marzano; Pascal; FULL; false
GI-100395; 1986-10-03; Marrakchi; Pranas; FULL; true
GI-109476; 1988-10-31; Piancastelli; Hirochika; FULL; true
GI-107776; 1985-09-28; Garnham; Kenton; EMERITUS; true
GI-106392; 1987-09-11; Gniady; Arto; STUDENT; true
GI-109463; 1986-01-25; Tibblin; Yongqiao; EMERITUS; false
GI-100222; 1988-05-25; Serot; Roddy; EMERITUS; false
GI-107233; 1996-08-25; Bojadziev; Arie; EMERITUS; true
GI-101175; 1988-09-04; Bodoff; Muneo; FULL; false
GI-106167; 1992-11-30; Hartvigsen; Teunis; FULL; false
GI-109985; 1986-03-12; Zultner; Magy; EMERITUS; true
GI-104058; 1992-11-05; Gill; Donald; FULL; true
GI-100831; 1994-12-22; Lenart; Brendon; STUDENT; false
GI-107634; 1998-04-06; Bolsens; Adin; REDUCED; true
GI-101752; 1986-10-14; Matzat; Kamakshi; REDUCED; false
GI-107275; 1990-10-29; Lamparter; Tremaine; FULL; true
GI-107780; 1993-10-01; Chaudhuri; Unal; FULL; false
GI-109754; 1987-05-18; Piancastelli; Valeri; REDUCED; true
GI-101073; 1990-09-12; Haldar; Xiaoshan; EMERITUS; true
GI-104511; 1985-04-01; Straney; Alois; EMERITUS; true
GI-106271; 1986-11-25; Merks; Ferdinand; REDUCED; false
GI-100155; 1988-12-29; Yavatkar; Ronghao; REDUCED; false
GI-109233; 1985-04-13; Swen; Herb; STUDENT; true
GI-101673; 1990-08-01; Wossner; Yaghout; STUDENT; true
GI-107135; 1985-08-20; Constantine; Aiman; FULL; true
GI-100364; 1988-08-26; Valtorta; Saniya; EMERITUS; true
GI-105537; 1989-08-07; Restivo; Lillian; STUDENT; true
GI-100560; 1985-04-26; Schoegge; Nimmagadda; FULL; true
GI-101974; 1986-03-25; Wossner; Alain; EMERITUS; false
GI-106656; 1995-10-17; Eastman; Luciano; REDUCED; false
GI-102857; 1987-11-04; Kavanagh; Junichi; FULL; false
GI-101516; 1987-12-11; Parveen; Adil; FULL; true
GI-104635; 1991-01-18; Krone; Phuoc; FULL; true
GI-106176; 1990-05-07; Hiltgen; Rosli; STUDENT; false
GI-100410; 1988-05-18; Baba; Make; STUDENT; true
GI-104986; 1986-06-05; Matheson; Morrie; STUDENT; false
GI-104169; 1986-10-24; Rosch; Pantung; EMERITUS; false
GI-105183; 1989-06-06; Pettis; Honglan; EMERITUS; false
GI-109183; 1986-02-14; Hiraishi; Sachin; FULL; true
