key;joiningdate;surename;forename;group
GI-107649; 1998-04-24; Gulla; Kenroku; STUDENT; true
GI-119212; 1985-04-04; Rosti; Marlo; FULL; false
GI-105236; 1994-11-17; Smailagic; Hisao; FULL; false
GI-106187; 1986-07-20; McConalogue; Sungwon; FULL; false
GI-100801; 1989-01-11; Homond; Genevieve; FULL; false
GI-125023; 1996-06-10; Penttonen; Serge; EMERITUS; true
GI-134319; 1991-08-05; Stenning; Christophe; FULL; true
GI-121170; 1987-12-20; Falco; Idoia; EMERITUS; false
GI-125988; 1986-08-17; Bardell; Nobuyoshi; EMERITUS; true
GI-108988; 1995-03-31; Millington; Manibrata; REDUCED; true
GI-104478; 1985-09-18; Billawala; Rasiah; EMERITUS; true
GI-117870; 1990-11-29; Matzke; Jenwei; STUDENT; false
GI-102003; 1988-03-16; Picel; Wilmer; REDUCED; false
GI-105027; 1986-03-14; Suomi; Valery; FULL; false
GI-117276; 1992-09-18; Angot; Chenye; REDUCED; true
GI-104620; 1985-08-07; Taneja; Isaac; FULL; false
GI-131670; 1988-02-01; Coney; Barun; REDUCED; false
GI-132586; 1997-10-10; Delaune; Tzu; REDUCED; false
GI-114417; 1995-12-25; Pehl; Janche; STUDENT; false
GI-136214; 1993-11-05; Kobara; Jiafu; REDUCED; true
GI-126257; 1985-08-07; Maginnis; Zijian; FULL; true
GI-127039; 1999-02-08; Perly; Herbert; FULL; true
GI-114145; 1993-10-06; Erde; Masato; REDUCED; false
GI-128992; 1997-06-04; Legleitner; Shietung; REDUCED; false
GI-125339; 1992-11-17; Breugel; Gennadi; FULL; false
GI-131694; 1985-08-25; Delgrossi; Sugwoo; REDUCED; true
GI-139977; 1992-11-08; Ashish; Vugranam; FULL; true
GI-122285; 1990-11-25; Sessa; Luigi; FULL; true
GI-109148; 1988-05-30; Peron; Xiong; STUDENT; true
GI-105909; 1990-01-17; Roccetti; Luigi; FULL; false
GI-120639; 1987-04-12; McAlpine; Amalendu; FULL; true
GI-109485; 1987-04-01; Vural; Luise; EMERITUS; false
GI-116153; 1989-03-20; Montresor; Sakthirel; EMERITUS; true
GI-109906; 1992-08-03; Matzen; Frederique; REDUCED; true
GI-134630; 1990-10-03; Suomi; Chikara; REDUCED; false
GI-110928; 1986-01-30; Marrevee; Supot; FULL; true
GI-108977; 1996-01-31; Whitcomb; Vasiliy; EMERITUS; true
GI-134266; 1985-09-19; Serre; Samphel; FULL; false
GI-116442; 1986-11-26; Underwood; Kristian; REDUCED; false
GI-115203; 1991-05-28; Butner; Pradeep; REDUCED; true
GI-124927; 1985-02-18; Strooper; Yaghout; REDUCED; false
GI-103797; 1990-04-08; Staelin; Arra; REDUCED; true
GI-125873; 1986-10-19; Liedekerke; Unal; FULL; false
GI-138945; 1992-02-28; Gopalakrishnan; Sadun; REDUCED; true
GI-120274; 1988-12-06; Ohori; Tomokazu; EMERITUS; false
GI-107770; 1985-12-04; Solares; Houman; REDUCED; true
GI-101332; 1992-12-04; Pavlopoulou; Jaana; STUDENT; true
GI-121939; 1987-11-15; Munck; Kien; REDUCED; true
GI-101791; 1987-03-31; Chvatal; Alselm; FULL; true
GI-130452; 1988-07-04; Puppe; Sanjai; REDUCED; true
GI-138599; 1995-07-14; Rouquie; Jouko; EMERITUS; false
GI-113170; 1991-04-18; Garigliano; Qiwen; EMERITUS; true
GI-125651; 1989-09-17; Eiron; Bedir; REDUCED; false
GI-108695; 1992-03-30; Stamatiou; Narain; EMERITUS; false
GI-114169; 1985-02-03; Worfolk; Margareta; FULL; true
GI-131711; 1997-03-18; Engberts; Yuping; FULL; true
GI-103933; 1993-05-01; Azuma; Idoia; EMERITUS; true
GI-112036; 1987-02-15; Aloia; Fatemeh; FULL; false
GI-136774; 1999-10-08; Casperson; Percy; STUDENT; false
GI-113100; 1985-03-21; Weiland; Basant; REDUCED; true
GI-114566; 1985-08-14; Mellouli; Toshimo; EMERITUS; true
GI-119184; 1988-06-06; Streng; Taizo; FULL; false
GI-107074; 1989-11-21; Slobodova; Christophe; STUDENT; false
GI-119475; 1987-03-13; Frezza; Shaw; FULL; false
GI-133096; 1986-11-08; Unno; Valeska; EMERITUS; false
GI-121568; 1990-07-02; Zedlitz; Subbu; REDUCED; true
GI-118630; 1990-05-09; Moehrke; Wilmer; REDUCED; false
GI-106891; 1996-03-04; Pell; Goncalo; REDUCED; false
GI-114148; 1997-12-30; Wroclawski; Aron; EMERITUS; true
GI-108859; 1993-04-29; Bennis; Michele; FULL; false
GI-121129; 1987-02-11; Usery; Feipei; STUDENT; true
GI-116081; 1992-09-11; Melter; Sreenivas; FULL; true
GI-124909; 1986-10-14; Asser; Lucian; FULL; false
GI-126032; 1987-09-02; Plesums; Stamatina; FULL; false
GI-108957; 1997-05-08; Barreiro; Spyrose; REDUCED; false
GI-137352; 1986-07-30; Marshall; Xiaoheng; FULL; false
GI-138209; 1993-11-18; Heinisuo; Carrsten; REDUCED; false
GI-115784; 1987-04-15; Selvestrel; Trygve; REDUCED; false
GI-112571; 1989-10-28; Yetim; Faiza; FULL; false
GI-134047; 1986-08-13; Winter; Zhonghua; REDUCED; true
GI-103741; 1994-09-12; Schusler; Shih; EMERITUS; true
GI-130136; 1990-05-03; Wilfing; Charmane; EMERITUS; false
GI-125449; 1993-09-22; Langford; Hisao; FULL; true
GI-130426; 1990-05-07; Hiltgen; Rosli; STUDENT; false
GI-101813; 1986-04-06; Eppinger; Toshimitsu; EMERITUS; false
GI-116922; 1993-04-02; Servi; Alair; FULL; false
GI-110582; 1993-12-06; Babb; Valeska; REDUCED; false
GI-112500; 1996-08-30; Picci; Abdelwaheb; EMERITUS; true
GI-114020; 1985-10-14; Dalphin; Maia; EMERITUS; false
GI-103120; 1995-04-26; Reinhart; Tayeb; EMERITUS; false
GI-134305; 1988-03-25; Sambasivam; Yechiam; REDUCED; false
GI-113009; 1988-09-11; Perl; Arve; EMERITUS; true
GI-101941; 1993-05-06; Denis; Jaques; EMERITUS; true
GI-100660; 1992-11-03; Pews; Kerryn; FULL; false
GI-104283; 1992-08-22; Ulupinar; Remmert; FULL; true
GI-125967; 1988-06-06; Azevdeo; Ennio; REDUCED; false
GI-132123; 1989-03-22; Ranka; Heng; FULL; true
GI-123739; 1993-05-09; Hofmeyr; Chenyi; STUDENT; true
GI-139950; 1985-05-09; Feldmann; Takahiro; FULL; true
GI-118838; 1985-08-31; Rosar; Berto; FULL; false
GI-113153; 1988-10-12; Farrel; Shahab; FULL; true
GI-133572; 1999-02-01; Rosaz; Zvonko; FULL; false
GI-138629; 1986-03-18; Perin; Sanjay; FULL; false
GI-105806; 1996-08-30; Bade; Susumu; REDUCED; true
GI-136882; 1990-06-11; Erev; Danai; STUDENT; true
GI-110153; 1985-08-07; Albarhamtoshy; Serge; STUDENT; true
GI-133897; 1996-07-10; Moehrke; Satosi; STUDENT; true
GI-114513; 1991-09-07; Sankaranarayanan; Surveyors; REDUCED; true
GI-130737; 1987-04-06; Debuse; Eckart; FULL; false
GI-133730; 1989-07-14; Karcich; Yongmao; FULL; false
GI-105692; 1990-02-09; Waterhouse; Quingbo; REDUCED; false
GI-131169; 1988-02-02; Janocha; Guther; EMERITUS; false
GI-121993; 1986-10-21; Speek; Aron; REDUCED; true
GI-129474; 1990-04-11; Chaudhuri; Constantino; FULL; false
GI-115238; 1991-08-31; Penz; Weiwu; EMERITUS; false
GI-107566; 1995-06-09; Serna; Kazuhisa; FULL; true
GI-139425; 1985-05-21; Petterson; Elrique; FULL; false
GI-115241; 1990-03-20; Unno; Houman; EMERITUS; true
GI-137049; 1989-08-06; Mundy; Dayanand; EMERITUS; true
GI-123154; 1987-08-17; Schicker; Debaprosad; REDUCED; false
GI-137236; 1995-11-24; Demri; Cullen; FULL; false
GI-126455; 1990-03-17; Terekhov; Zhiguo; REDUCED; true
GI-114656; 1993-01-20; Ecklund; Neven; REDUCED; true
GI-110906; 1988-02-08; Greenaway; Takushi; STUDENT; true
GI-109314; 1994-08-31; Khalil; JiYoung; STUDENT; false
GI-117616; 1996-03-25; Schlenzig; Sumali; EMERITUS; false
GI-129525; 1991-02-15; Halloran; Junichi; REDUCED; true
GI-134379; 1993-10-02; Noriega; Aluzio; REDUCED; true
GI-132880; 1991-10-30; Ananiadou; Gita; REDUCED; true
GI-121989; 1987-02-21; Kakkad; Vugranam; FULL; false
GI-131605; 1995-12-13; Plotkin; Masami; EMERITUS; false
GI-118788; 1988-09-14; Dahlbom; Tran; EMERITUS; true
GI-114851; 1991-09-11; Gilg; Yuriy; STUDENT; true
GI-115545; 1992-05-03; Comellas; Rosita; REDUCED; true
GI-103502; 1985-10-27; Wallrath; Rajmohan; FULL; false
GI-109205; 1988-06-25; Casley; Shay; EMERITUS; true
GI-103829; 1993-01-30; Tiemann; Sailaja; FULL; true
GI-137250; 1993-04-03; Mawatari; Baruch; FULL; true
GI-107216; 1986-05-14; Choobineh; Weiwu; FULL; true
GI-126407; 1986-12-26; Lores; Macha; FULL; true
GI-131151; 1988-01-06; Krzyzanowski; Xiaocheng; FULL; false
GI-139239; 1987-12-02; Penttonen; Tianruo; REDUCED; true
GI-127951; 1994-09-05; Yemenis; Marc; FULL; false
GI-117515; 1996-05-12; Baumann; Giri; EMERITUS; true
GI-108768; 1987-10-15; Pashtan; Randy; EMERITUS; true
GI-110173; 1991-01-16; McDermid; Gritta; FULL; false
GI-100181; 1997-07-02; Murrill; Masali; EMERITUS; false
GI-120586; 1993-09-26; Demian; Yuqun; EMERITUS; false
GI-136665; 1987-02-09; Polupanov; Yifei; FULL; true
GI-124451; 1988-01-17; Gerlach; Vishwani; EMERITUS; true
GI-121003; 1985-10-05; Hutter; Shaleah; FULL; true
GI-108557; 1989-06-21; Herath; Yuguang; EMERITUS; true
GI-133295; 1987-03-17; Staylopatis; Srinidhi; FULL; true
GI-104863; 1998-12-06; Clouatre; Yefim; EMERITUS; true
GI-102362; 1986-10-18; Demke; Yakkov; EMERITUS; false
GI-132894; 1988-07-14; Picci; Amalendu; STUDENT; false
GI-120593; 1992-09-18; Levasseur; Kish; EMERITUS; true
GI-109396; 1986-02-04; Babbel; Shen; FULL; false
GI-137081; 1987-06-04; Glinert; Wanqing; REDUCED; false
GI-105122; 1994-05-30; Matzen; Remmert; REDUCED; true
GI-120493; 1989-10-23; Scharstein; Abdelwaheb; EMERITUS; true
GI-133714; 1985-03-16; Strooper; Mayuri; STUDENT; false
GI-132317; 1988-09-15; Stroustrup; Yucel; FULL; false
GI-136245; 1988-05-29; Delgrossi; Yannik; EMERITUS; false
GI-132788; 1985-09-07; Brookner; Aimee; EMERITUS; true
GI-110966; 1985-07-06; Verhaegen; Aiichiro; EMERITUS; true
GI-109278; 1987-06-26; Munke; Denis; EMERITUS; false
GI-106671; 1985-07-11; Heinisuo; Mang; STUDENT; true
GI-124915; 1993-10-29; Kalloufi; Sanjai; REDUCED; false
GI-107053; 1989-10-29; Menhoudj; Leon; EMERITUS; true
GI-131258; 1993-12-14; Ghelli; Krister; FULL; false
GI-136841; 1998-10-16; Lichtman; Lein; STUDENT; true
GI-133666; 1994-03-03; Candan; Irene; STUDENT; true
GI-126086; 1987-02-22; Serra; Moss; FULL; false
GI-137439; 1994-11-14; Rusterholz; Hugh; REDUCED; false
GI-129218; 1990-09-20; Hennebert; Khun; EMERITUS; true
GI-120379; 1995-10-19; Begiun; Stepehn; STUDENT; false
GI-111543; 1987-03-18; Crouzet; Licheng; REDUCED; true
GI-108498; 1997-06-07; Undy; Kathrin; EMERITUS; true
GI-128247; 1991-10-18; Auyong; Dinah; EMERITUS; true
GI-124118; 1987-02-12; Laventhal; Jahangir; REDUCED; false
GI-122735; 1994-09-30; Coors; Frederique; STUDENT; true
GI-129004; 1996-03-23; Bednarek; Filipp; FULL; false
GI-111054; 1985-03-11; Mullainathan; Fan; FULL; false
GI-133578; 1988-07-03; Warwick; Tooru; EMERITUS; false
GI-103787; 1985-03-16; Ferriere; Valeri; EMERITUS; true
GI-123916; 1987-07-04; Lindqvist; Olivera; STUDENT; false
GI-138100; 1992-02-02; Rullman; Masasuke; FULL; true
GI-119132; 1990-07-14; Skrikant; Irene; FULL; true
GI-130275; 1989-12-17; Lucas; Gonzalo; EMERITUS; true
GI-129707; 1989-09-26; Erie; Arnd; EMERITUS; false
GI-108274; 1992-05-17; Kamber; Rajmohan; STUDENT; false
GI-124417; 1995-12-25; Pehl; Janche; STUDENT; false
GI-139579; 1986-04-11; Munck; Arnould; FULL; true
GI-137059; 1987-07-09; Klassen; Mats; FULL; true
GI-104998; 1993-12-08; Baezner; Ioana; FULL; false
GI-122111; 1995-12-19; Munro; Mayuko; EMERITUS; true
GI-114497; 1994-06-25; Murtagh; Zhiwei; FULL; false
GI-139012; 1988-06-07; Kilgore; Moie; FULL; false
GI-106651; 1990-01-10; Stentiford; Ipke; REDUCED; true
GI-122566; 1993-03-01; Rosin; Ziyad; STUDENT; true
GI-111894; 1991-03-22; Swist; Zine; FULL; true
GI-111836; 1988-02-10; Hegner; Jaber; STUDENT; false
GI-111572; 1988-01-14; Swist; Hatsukazu; FULL; true
GI-120062; 1987-10-28; Mayerwieser; Francesca; STUDENT; true
GI-102193; 1996-07-15; Rosis; Mikhail; FULL; true
GI-128661; 1988-01-07; Hatcliff; Alassane; FULL; false
GI-130348; 1992-11-06; Marsiglia; Zhenbing; REDUCED; true
GI-113838; 1989-09-13; Lammel; Weicheng; REDUCED; true
GI-117305; 1989-03-16; Narwekar; Pranav; FULL; true
GI-118345; 1988-01-04; Salverda; Honglan; STUDENT; false
GI-126920; 1991-11-05; Fujisawa; Saeed; EMERITUS; true
GI-115222; 1987-03-27; Broomell; Arnd; FULL; true
GI-121301; 1989-11-12; Baja; Weijing; REDUCED; false
GI-138914; 1992-02-17; Stasinski; Fumitaka; REDUCED; true
GI-122746; 1991-05-16; Stroustrup; Aris; FULL; false
GI-111544; 1990-08-01; Lamba; Annemarie; EMERITUS; true
GI-130256; 1990-01-07; Klyachko; Khalil; REDUCED; true
GI-121721; 1993-06-03; Hainaut; Angus; EMERITUS; false
GI-106092; 1987-09-11; Stentiford; Munir; EMERITUS; true
GI-102036; 1987-02-15; Aloia; Fatemeh; FULL; false
GI-119265; 1990-08-27; Velardi; Kristine; STUDENT; false
GI-110820; 1991-09-09; Rando; Gretta; FULL; true
GI-118184; 1986-07-28; Suri; Arvind; FULL; false
GI-116938; 1987-05-17; Azadmanesh; Avishai; FULL; false
GI-100756; 1986-05-08; Thisen; Jianhao; EMERITUS; false
GI-132456; 1991-06-01; Strandh; Boguslaw; EMERITUS; true
GI-100454; 1986-11-02; Chenney; Giri; FULL; true
GI-112967; 1988-07-09; Masaki; Gaurav; FULL; true
GI-108530; 1990-05-19; Bharadwaj; Nishit; EMERITUS; true
GI-111228; 1986-05-29; Hockney; Sham; REDUCED; false
GI-106867; 1986-05-31; Vieri; Marsja; EMERITUS; true
GI-131635; 1988-09-24; Cincotta; Conor; STUDENT; false
GI-107104; 1987-12-07; Fetvedt; Gretta; EMERITUS; false
GI-113030; 1989-02-25; Mahnke; Susanta; FULL; true
GI-115792; 1988-01-27; Demeyer; Shawna; FULL; true
GI-127332; 1994-03-25; Pocchiola; Koichi; EMERITUS; true
GI-106857; 1994-07-24; Bale; Lein; EMERITUS; true
GI-108724; 1985-07-03; Halevi; Shan; STUDENT; true
GI-137186; 1998-10-23; Weedon; Waiman; FULL; true
GI-115471; 1989-12-02; Camurati; Mona; EMERITUS; false
GI-111620; 1986-02-26; Schusler; Kwee; FULL; false
GI-106529; 1988-04-13; Anick; Shih; FULL; true
GI-126862; 1991-05-04; Baak; Subir; STUDENT; false
GI-135245; 1987-02-13; Klassen; Naftaly; REDUCED; true
GI-121579; 1999-10-28; Tokunaga; Aimee; EMERITUS; true
GI-115371; 1989-02-14; Streng; Sverrir; REDUCED; true
GI-120720; 1989-08-10; Khalid; Aran; FULL; true
GI-101857; 1985-10-30; Hofmeyr; Arve; STUDENT; true
GI-138233; 1988-03-04; Langford; Heejo; EMERITUS; false
GI-128281; 1992-04-23; Peak; Spyrose; STUDENT; true
GI-125024; 1988-03-20; Claffy; Joydip; STUDENT; true
GI-123134; 1994-12-21; Cardazo; Kristin; STUDENT; false
GI-128461; 1989-11-14; Azadmanesh; Kien; EMERITUS; true
GI-103343; 1989-04-20; Danecki; Roddy; FULL; false
GI-132207; 1991-10-06; Docker; Reinhold; FULL; true
GI-109879; 1988-07-16; Erde; Jenwei; REDUCED; false
GI-111709; 1985-10-31; Casley; Neven; REDUCED; false
GI-113807; 1993-10-23; Lorcy; Divier; FULL; false
GI-103359; 1996-04-13; Terkki; Leaf; FULL; true
GI-104828; 1992-12-05; Brendel; Barun; REDUCED; true
GI-112557; 1991-04-10; Turnbull; Basem; FULL; false
GI-106537; 1994-03-30; Pagter; Domenico; STUDENT; false
GI-134262; 1989-04-18; Zaiane; Udaiprakash; EMERITUS; true
GI-101079; 1990-12-30; Luef; Krassimir; STUDENT; false
GI-121395; 1985-11-22; Rosti; Edwin; EMERITUS; true
GI-123443; 1995-03-26; Begiun; Sushant; FULL; true
GI-107184; 1986-05-05; Stranks; Brewster; STUDENT; true
GI-134908; 1999-08-28; Orsini; Youssef; FULL; false
GI-102836; 1986-04-01; Heijenga; Morris; REDUCED; true
GI-112724; 1986-10-22; Ranft; Martien; EMERITUS; false
GI-125524; 1986-02-25; Bellone; Yechezkel; FULL; false
GI-103961; 1996-03-09; Kruskal; Denise; FULL; true
GI-129950; 1985-05-09; Feldmann; Takahiro; FULL; true
GI-114114; 1997-05-30; Avouris; Gao; FULL; true
GI-120863; 1995-06-20; Speel; Bodh; FULL; true
GI-116656; 1986-03-11; Doering; Bodh; EMERITUS; false
GI-120955; 1985-08-27; Alvarado; Leucio; FULL; true
GI-126824; 1986-01-01; Speer; Nathalie; REDUCED; true
GI-120175; 1991-11-29; Schapiro; Kazuhiro; REDUCED; false
GI-111528; 1986-11-16; Bain; Susanne; EMERITUS; false
GI-111915; 1990-11-02; Chartres; Mayuri; REDUCED; true
GI-121785; 1992-11-25; Lueh; Troy; EMERITUS; true
GI-131412; 1996-08-19; Munke; Turgut; REDUCED; false
GI-117888; 1995-10-20; Isard; Marjo; FULL; true
GI-139242; 1990-04-19; Lubachevsky; Constantine; FULL; false
GI-138895; 1989-11-12; Remmele; Jasminko; FULL; true
GI-128128; 1998-05-15; Ferretti; Khalid; FULL; true
GI-101910; 1987-07-02; Heemskerk; Kannan; FULL; false
GI-107945; 1988-01-11; Feinberg; Chenyi; REDUCED; true
GI-112205; 1986-01-03; Dalphin; Weidon; FULL; false
GI-131562; 1996-07-24; Linares; Nathalie; FULL; true
GI-135174; 1988-02-10; Erde; Ramzi; FULL; false
GI-102515; 1991-01-07; Makinen; Yoshimitsu; EMERITUS; false
GI-136969; 1990-12-05; Karner; Zhenbing; STUDENT; true
GI-132018; 1988-04-26; Rahier; Florina; FULL; true
GI-131421; 1987-03-22; Ghalwash; Stein; EMERITUS; false
GI-138214; 1993-05-22; Bonifati; Masali; EMERITUS; false
GI-125219; 1988-07-30; Iwayama; Georgy; EMERITUS; false
GI-106100; 1986-02-21; Schrift; Aloke; EMERITUS; true
GI-111749; 1989-03-13; Gini; Eberhardt; FULL; true
GI-131626; 1990-10-23; Kornatzky; Theirry; FULL; true
GI-124131; 1988-11-17; Marrakchi; Koichi; REDUCED; true
GI-112391; 1991-06-26; Dechter; Zdislav; EMERITUS; false
GI-116487; 1997-01-07; Fioravanti; Prodip; REDUCED; true
GI-123881; 1993-04-26; Liesche; Aimee; REDUCED; false
GI-125077; 1985-10-29; Gewali; Morrie; STUDENT; true
GI-111064; 1995-10-13; Fujisawa; Ymte; EMERITUS; false
GI-133866; 1986-03-31; Pelz; Adhemar; FULL; false
GI-119507; 1993-01-03; Bernini; King; EMERITUS; true
GI-134067; 1986-04-24; Ramalingam; Mingdong; FULL; false
GI-104121; 1986-04-04; Dulin; Kristian; EMERITUS; false
GI-137470; 1985-05-13; Burnard; Ayonca; FULL; true
GI-100939; 1986-12-07; Covnot; Guadalupe; EMERITUS; true
GI-126437; 1988-09-21; Swan; Bader; REDUCED; false
GI-103243; 1991-06-15; Dalphin; Gopalakrishnan; EMERITUS; true
GI-121469; 1988-07-03; Boyle; Alagu; EMERITUS; false
GI-113338; 1996-12-01; Narlikar; Weicheng; FULL; false
GI-134476; 1986-04-29; Waeselynck; Tru; FULL; false
GI-127991; 1992-07-20; Ibel; Heon; EMERITUS; true
GI-111951; 1989-01-15; Pardalos; Heeju; EMERITUS; true
GI-133754; 1992-01-28; Nitsch; Ayonca; FULL; false
GI-113969; 1995-08-21; Comellas; Jianhua; REDUCED; true
GI-102762; 1988-03-30; Jervis; Nevin; REDUCED; true
GI-109050; 1985-09-28; Garnham; Breannda; EMERITUS; false
GI-125640; 1988-12-07; Blokdijk; Niclas; EMERITUS; false
GI-115722; 1987-04-14; Flowers; Xinglin; FULL; false
GI-112029; 1993-02-08; Kobuchi; Keiichiro; REDUCED; false
GI-123361; 1985-08-21; Conti; Bartek; FULL; false
GI-117338; 1990-12-09; Vilarrasa; Aiichiro; EMERITUS; false
GI-103237; 1993-05-19; Underwood; Arif; REDUCED; false
GI-136578; 1998-06-05; Gewali; Kazuhisa; EMERITUS; true
GI-102439; 1985-11-10; Docker; Jessie; FULL; true
GI-134551; 1989-10-28; Chinin; Guoxiang; STUDENT; true
GI-122705; 1992-11-03; Yurek; Etsuo; REDUCED; false
GI-110231; 1985-09-03; Iacovou; Chiradeep; REDUCED; true
GI-121628; 1997-12-20; McFarlan; Lidong; EMERITUS; true
GI-120664; 1986-06-23; Swick; Yaghout; EMERITUS; true
GI-127164; 1987-06-09; Openshaw; Fan; FULL; false
GI-124162; 1991-07-28; Isard; Zdislav; FULL; false
GI-133774; 1988-08-26; Lamma; Jordanka; FULL; false
GI-130557; 1988-01-31; Rande; Pramod; EMERITUS; false
GI-136358; 1992-08-09; Wossner; Kyoichi; REDUCED; true
GI-124550; 1993-06-23; Perng; Udaiprakash; REDUCED; true
GI-128925; 1993-08-21; Compeau; Magdalena; FULL; true
GI-125547; 1992-05-17; Giaccio; Shigehito; STUDENT; false
GI-101384; 1987-06-07; Zizka; Tuval; REDUCED; true
GI-135043; 1989-09-13; Barriga; Shin; REDUCED; false
GI-115925; 1992-01-27; Marrevee; Khoa; EMERITUS; false
GI-104174; 1996-11-04; Feldmann; Tuval; STUDENT; true
GI-109667; 1989-11-05; Zeilberger; Marsha; FULL; true
GI-119174; 1987-11-23; Barreiro; Arup; REDUCED; true
GI-134719; 1987-05-03; Ferretti; Kenroku; REDUCED; false
GI-124610; 1991-02-16; Grabner; Yinlin; FULL; true
GI-113410; 1985-05-17; Kroon; Evgueni; FULL; false
GI-137970; 1985-05-18; Delgrande; Ziva; FULL; true
GI-115160; 1989-01-28; Manders; Sven; FULL; true
GI-109597; 1994-04-11; Piazza; Morrie; FULL; true
GI-124197; 1987-10-19; Duclos; Xiaobin; REDUCED; false
GI-129751; 1992-07-03; Lundstrom; Ibibia; REDUCED; false
GI-123618; 1990-11-07; Hempstead; Moriyoshi; REDUCED; false
GI-105202; 1987-05-10; Moehrke; Toshimi; REDUCED; false
GI-110956; 1985-03-24; Manderick; Geoffrey; FULL; true
GI-106246; 1994-02-07; Denny; Tsutomu; FULL; true
GI-107324; 1991-11-17; Pellegrinelli; Mircea; EMERITUS; true
GI-101090; 1991-06-11; Perng; Utz; EMERITUS; true
GI-132292; 1992-05-30; Sommer; Jianhua; FULL; true
GI-105899; 1993-10-27; Beausoleil; Kwangho; STUDENT; true
GI-132172; 1988-10-01; Hempstead; Munir; EMERITUS; true
GI-133243; 1991-06-15; Dalphin; Gopalakrishnan; EMERITUS; true
GI-100452; 1988-07-04; Puppe; Sanjai; REDUCED; true
GI-131045; 1985-03-23; Ratnakar; Mori; REDUCED; true
GI-132538; 1985-04-29; Hedayat; Jenwei; EMERITUS; false
GI-106992; 1994-03-03; Rettelbach; Yoshimitsu; FULL; true
GI-119557; 1989-06-19; Kaminger; Claudi; FULL; true
GI-112756; 1995-03-04; Erdmenger; Emran; EMERITUS; false
